rid,eqtime,avsize,finalsize,stateent,runtime,netent
23096,6.545450,366.727000,394,0.000000,7.970000,-1.303270
23097,11.000000,459.000000,1097,-0.398995,7.220000,-1.392490
23098,8.181820,367.909000,411,-0.065730,10.150000,-1.304890
23099,9.750000,463.000000,1143,-0.230372,6.810000,-1.393540
23100,6.818180,394.273000,423,0.000000,9.200000,-1.325540
23101,9.000000,457.000000,1119,-0.315354,5.710000,-1.410530
23102,12.545500,412.636000,621,-0.510933,20.920000,-1.344480
23103,9.000000,451.000000,1122,-0.153866,6.010000,-1.384420
23104,7.727270,370.545000,415,0.000000,9.740000,-1.356170
23105,13.600000,597.200000,1510,-0.668778,18.030000,-1.445170
23106,8.454550,369.364000,398,-0.031612,10.670000,-1.295960
23107,11.800000,605.000000,1609,-0.683162,15.470000,-1.372950
23108,6.363640,353.545000,368,0.000000,7.350000,-1.311130
23109,10.500000,508.250000,1157,-0.687486,8.170000,-1.394400
23110,9.000000,392.818000,459,-0.399949,12.540000,-1.300710
23111,11.000000,515.000000,1118,-0.691609,9.520000,-1.443790
23112,6.818180,415.364000,473,0.000000,9.950000,-1.357370
23113,10.000000,511.750000,1044,-0.692617,8.450000,-1.456380
23114,7.272730,370.636000,406,-0.055321,9.220000,-1.332280
23115,10.750000,517.500000,1009,-0.680041,8.930000,-1.414190
23116,7.272730,364.636000,395,0.000000,8.850000,-1.318250
23117,10.250000,508.750000,1171,-0.692271,8.560000,-1.428810
23118,7.000000,362.545000,393,-0.345290,8.850000,-1.368320
23119,12.000000,518.250000,1154,-0.690742,10.860000,-1.414170
23120,6.200000,355.500000,379,0.000000,6.520000,-1.271410
23121,11.750000,515.250000,1229,-0.684965,9.590000,-1.401170
23122,6.818180,375.000000,401,0.000000,8.540000,-1.335120
23123,12.500000,516.750000,1218,-0.691300,9.810000,-1.432570
23124,7.363640,376.364000,417,0.000000,9.400000,-1.380040
23125,10.750000,521.000000,1486,-0.691393,9.130000,-1.322370
23126,13.500000,460.125000,1026,-0.670401,20.310000,-1.508340
23127,11.000000,526.250000,1490,-0.688726,9.360000,-1.326420
23128,7.000000,381.636000,410,0.000000,9.040000,-1.299410
23129,11.750000,531.250000,1331,-0.688146,9.850000,-1.404600
23130,7.454550,349.000000,370,-0.033609,8.750000,-1.247910
23131,11.250000,535.250000,1301,-0.690805,10.310000,-1.372280
23132,6.375000,365.375000,392,0.000000,5.640000,-1.321460
23133,14.250000,535.000000,1523,-0.687267,13.930000,-1.347060
23134,14.250000,493.375000,1192,-0.682943,26.290000,-1.467850
23135,11.750000,534.750000,1554,-0.689084,10.170000,-1.330490
23136,5.625000,341.000000,352,0.000000,4.480000,-1.254850
23137,29.400000,593.600000,1558,-0.663419,32.500000,-1.410650
23138,6.454550,376.364000,415,0.000000,7.920000,-1.301800
23139,10.000000,528.250000,1048,-0.688403,8.470000,-1.461170
23140,7.454550,395.818000,438,0.000000,10.680000,-1.326410
23141,9.250000,510.750000,1140,-0.692961,7.440000,-1.433220
23142,6.545450,365.727000,395,-0.299304,7.900000,-1.343080
23143,11.250000,516.750000,1142,-0.691267,9.280000,-1.446230
23144,8.000000,364.364000,397,0.000000,9.820000,-1.370430
23145,12.600000,588.000000,1590,-0.673769,13.550000,-1.416460
23146,7.857140,348.571000,369,0.000000,5.650000,-1.310670
23147,13.800000,618.600000,1599,-0.682493,18.620000,-1.416160
23148,7.272730,390.636000,437,0.000000,9.700000,-1.372740
23149,9.500000,511.000000,1170,-0.693076,7.740000,-1.441220
23150,8.909090,440.636000,563,-0.445282,14.460000,-1.318720
23151,10.750000,519.500000,1190,-0.691959,9.220000,-1.404710
23152,7.142860,353.714000,379,0.000000,5.160000,-1.336320
23153,12.500000,511.500000,1210,-0.691276,11.510000,-1.434580
23154,7.090910,376.091000,411,0.000000,9.160000,-1.297550
23155,10.750000,535.750000,1287,-0.691538,9.450000,-1.403940
23156,7.000000,359.091000,384,0.000000,8.630000,-1.335210
23157,12.000000,530.000000,1494,-0.688365,10.330000,-1.333390
23158,11.625000,462.875000,1055,-0.677355,17.590000,-1.511240
23159,10.500000,515.750000,1443,-0.688633,8.660000,-1.341000
23160,7.222220,367.667000,401,0.000000,7.160000,-1.354910
23161,10.250000,511.750000,1238,-0.692049,8.450000,-1.428380
23162,7.363640,370.636000,404,-0.031217,9.150000,-1.342810
23163,11.250000,534.500000,1344,-0.691941,9.840000,-1.391250
23164,7.285710,370.429000,407,0.000000,5.720000,-1.340480
23165,13.000000,526.000000,1493,-0.686103,12.640000,-1.362880
23166,13.250000,482.500000,1184,-0.686140,21.340000,-1.462880
23167,10.000000,530.750000,1531,-0.687880,9.030000,-1.341310
23168,6.777780,377.333000,414,0.000000,6.950000,-1.350740
23169,10.250000,451.750000,1103,-0.137598,6.460000,-1.395760
23170,6.909090,377.636000,412,-0.030706,8.690000,-1.300370
23171,10.250000,447.750000,1108,-0.086722,6.400000,-1.382570
23172,5.888890,341.778000,358,0.000000,5.280000,-1.350420
23173,8.250000,444.250000,1094,-0.150834,5.250000,-1.405360
23174,7.363640,394.455000,437,-0.369470,10.300000,-1.314890
23175,9.750000,451.250000,1102,-0.108316,5.910000,-1.380990
23176,7.727270,398.636000,455,0.000000,10.750000,-1.365040
23177,10.750000,456.000000,1099,-0.198649,6.650000,-1.411850
23178,6.818180,381.455000,408,0.000000,8.720000,-1.326530
23179,10.250000,457.000000,1131,-0.119247,6.940000,-1.383360
23180,6.727270,365.545000,389,0.000000,9.320000,-1.318210
23181,8.500000,445.500000,1070,-0.216028,4.930000,-1.387860
23182,9.454550,418.182000,533,-0.429323,14.650000,-1.332770
23183,10.500000,462.000000,1166,-0.116435,6.610000,-1.379390
23184,6.818180,355.909000,377,0.000000,8.150000,-1.297200
23185,9.500000,454.500000,1103,-0.340156,5.890000,-1.392080
23186,6.857140,377.714000,413,0.000000,5.680000,-1.345580
23187,9.500000,459.250000,1128,-0.256017,6.180000,-1.381540
23188,7.636360,410.636000,472,0.000000,11.170000,-1.362980
23189,9.500000,455.000000,1121,-0.324887,6.060000,-1.385070
23190,11.000000,488.273000,814,-0.557562,23.210000,-1.298950
23191,8.500000,446.500000,1094,-0.196627,5.300000,-1.396480
23192,6.000000,348.222000,367,0.000000,5.590000,-1.340480
23193,8.250000,445.500000,1062,-0.312063,4.840000,-1.383550
23194,6.454550,370.000000,395,-0.031814,7.920000,-1.298310
23195,9.000000,455.500000,1142,-0.235271,6.160000,-1.384580
23196,7.454550,435.364000,508,0.000000,11.690000,-1.368330
23197,10.250000,457.750000,1134,-0.380613,6.210000,-1.394140
23198,13.444400,538.778000,1058,-0.596279,29.990000,-1.491750
23199,8.500000,452.000000,1128,-0.215396,5.290000,-1.364190
23200,7.636360,379.182000,413,0.000000,9.750000,-1.339790
23201,11.000000,451.500000,1092,-0.177489,6.780000,-1.388320
23202,6.545450,346.364000,365,-0.033995,7.450000,-1.205890
23203,10.750000,454.000000,1116,-0.120498,6.430000,-1.376090
23204,6.272730,364.000000,387,0.000000,7.450000,-1.294830
23205,9.500000,449.500000,1095,-0.193782,6.090000,-1.384950
23206,8.000000,367.364000,423,-0.318277,9.990000,-1.349030
23207,8.500000,450.750000,1115,-0.166230,5.220000,-1.389800
23208,6.363640,388.909000,418,0.000000,8.480000,-1.351410
23209,10.000000,449.500000,1097,-0.115484,6.370000,-1.395420
